step,logs/rot-y_rot-y_
0,1.4529091119766235
1,1.3520869016647339
2,1.2528306245803833
3,1.1461665630340576
4,1.0414702892303467
5,0.9217432141304016
6,0.814099133014679
7,0.7200740575790405
8,0.6281593441963196
9,0.5451237559318542
10,0.4815070927143097
11,0.4297008216381073
12,0.3660883903503418
13,0.32115209102630615
14,0.280605673789978
15,0.2536276578903198
16,0.2241261899471283
17,0.19503670930862427
18,0.1759820133447647
19,0.17022913694381714
20,0.15561100840568542
21,0.14322879910469055
22,0.1251765638589859
23,0.18313977122306824
24,0.17024098336696625
25,0.09787257760763168
26,0.08585923910140991
27,0.09382926672697067
28,0.10059145838022232
29,0.11118154972791672
30,0.09849944710731506
31,0.09629210829734802
32,0.09320804476737976
33,0.09477507323026657
34,0.06571220606565475
35,0.08748972415924072
36,0.08508611470460892
37,0.06466600298881531
38,0.061030931770801544
39,0.09975255280733109
40,0.0964052677154541
41,0.05668199807405472
42,0.040246281772851944
43,0.044178519397974014
44,0.0883784294128418
45,0.06104882061481476
46,0.04968603327870369
47,0.05678446963429451
48,0.06665606796741486
49,0.05123705789446831
50,0.06105582043528557
51,0.05404148995876312
52,0.04004952684044838
53,0.07080269604921341
54,0.03724351525306702
55,0.03896912559866905
56,0.05875426530838013
57,0.08044879138469696
58,0.03892214596271515
59,0.0300257820636034
60,0.029751591384410858
61,0.1624239832162857
62,0.03983994200825691
63,0.028571389615535736
64,0.02698703296482563
65,0.02845434844493866
66,0.04773000627756119
67,0.044043708592653275
68,0.034815914928913116
69,0.033574141561985016
70,0.027686534449458122
71,0.04217524453997612
72,0.06284783035516739
73,0.028134748339653015
74,0.03907924145460129
75,0.04213878512382507
76,0.02766307257115841
77,0.039759404957294464
78,0.03625928983092308
79,0.039729245007038116
80,0.04033144935965538
81,0.026651259511709213
82,0.032626084983348846
83,0.04274502024054527
84,0.032374411821365356
85,0.037577152252197266
86,0.027025675401091576
87,0.044170886278152466
88,0.04175424203276634
89,0.02386896312236786
90,0.017488334327936172
91,0.03618200868368149
92,0.04046117514371872
93,0.02634427510201931
94,0.01946616731584072
95,0.025607969611883163
96,0.042608000338077545
97,0.029677608981728554
98,0.023075420409440994
99,0.017000863328576088
