step,logs/rot-y_rot-y
0,0.5013235211372375
1,0.4968540668487549
2,0.48472845554351807
3,0.4826815724372864
4,0.5012570023536682
5,0.5203861594200134
6,0.5425650477409363
7,0.564710795879364
8,0.592724621295929
9,0.619809091091156
10,0.6426357626914978
11,0.6625778079032898
12,0.6872155070304871
13,0.7011244297027588
14,0.7242547869682312
15,0.7382166981697083
16,0.7528338432312012
17,0.7647994160652161
18,0.7763652205467224
19,0.7871938347816467
20,0.7939792275428772
21,0.8094677925109863
22,0.8107476234436035
23,0.8162111043930054
24,0.8344674706459045
25,0.8310880661010742
26,0.8416420817375183
27,0.8472343683242798
28,0.852292001247406
29,0.8417804837226868
30,0.8638180494308472
31,0.8557329177856445
32,0.8622496724128723
33,0.8819885849952698
34,0.8882120847702026
35,0.8773617744445801
36,0.8549951314926147
37,0.8917603492736816
38,0.8937589526176453
39,0.8761247396469116
40,0.8888033628463745
41,0.9081621766090393
42,0.8933471441268921
43,0.8884556293487549
44,0.9049285650253296
45,0.9078072309494019
46,0.8941872119903564
47,0.9089944362640381
48,0.9067202806472778
49,0.9066126942634583
50,0.9235138893127441
51,0.9039634466171265
52,0.9095069766044617
53,0.9155465960502625
54,0.9166596531867981
55,0.9038047194480896
56,0.9335416555404663
57,0.9354127645492554
58,0.8984792828559875
59,0.920810341835022
60,0.9250268936157227
61,0.9347450733184814
62,0.9461701512336731
63,0.9094690084457397
64,0.9229007959365845
65,0.9391629099845886
66,0.9430568218231201
67,0.921960711479187
68,0.9234327077865601
69,0.9406862854957581
70,0.9411168694496155
71,0.9358199238777161
72,0.9397832751274109
73,0.9245489239692688
74,0.925345778465271
75,0.9343218207359314
76,0.9444677829742432
77,0.9529827237129211
78,0.9240158200263977
79,0.9411101341247559
80,0.9380730390548706
81,0.9350529909133911
82,0.9540112018585205
83,0.9495143890380859
84,0.9325588345527649
85,0.9485390186309814
86,0.9456525444984436
87,0.9321964979171753
88,0.9420156478881836
89,0.935049831867218
90,0.9509822726249695
91,0.9474825263023376
92,0.943229615688324
93,0.9413719177246094
94,0.9529052972793579
95,0.953166663646698
96,0.9422719478607178
97,0.9326786994934082
98,0.9539793133735657
99,0.9600315690040588
